Feature,Importance
Feature 370,4.5309707e-06
Feature 371,4.953975e-06
Feature 372,3.1560317e-06
Feature 373,4.0505706e-06
Feature 374,4.9980413e-06
Feature 375,3.5484425e-06
Feature 376,2.5667273e-06
Feature 377,4.187001e-06
Feature 378,4.2904626e-06
Feature 379,5.36985e-06
Feature 380,3.2490134e-06
Feature 381,2.8355832e-06
Feature 382,2.5049587e-06
Feature 383,3.2184203e-06
Feature 384,2.319812e-06
Feature 385,4.1559774e-06
Feature 386,2.272964e-06
Feature 387,6.8642153e-06
Feature 388,3.3934966e-06
Feature 389,2.7315282e-06
Feature 390,3.5434484e-06
Feature 391,5.7506836e-06
Feature 392,5.8356163e-06
Feature 393,3.1861218e-06
Feature 394,4.019403e-06
Feature 395,4.0186974e-06
Feature 396,2.9055366e-06
Feature 397,2.2664217e-06
Feature 398,3.605996e-06
Feature 399,2.1507874e-06
Feature 400,3.7315654e-06
Feature 401,3.4810616e-06
Feature 402,3.227459e-06
Feature 403,2.2346119e-06
Feature 404,4.051782e-06
Feature 405,3.922837e-06
Feature 406,6.7148803e-06
Feature 407,4.929893e-06
Feature 408,3.828281e-06
Feature 409,4.2316224e-06
Feature 410,3.8639046e-06
Feature 411,3.2452951e-06
Feature 412,2.7984656e-06
Feature 413,5.633435e-06
Feature 414,3.284212e-06
Feature 415,4.141966e-06
Feature 416,2.4823123e-06
Feature 417,3.2677958e-06
Feature 418,3.3347173e-06
Feature 419,6.1467813e-06
Feature 420,3.7150917e-06
Feature 421,3.0967224e-06
Feature 422,2.455271e-06
Feature 423,3.2609173e-06
Feature 424,2.015646e-06
Feature 425,4.3391196e-06
Feature 426,2.2421573e-06
Feature 427,5.1194697e-06
Feature 428,2.6159764e-06
Feature 429,2.4657909e-06
Feature 430,5.533603e-06
Feature 431,5.6878957e-06
Feature 432,4.4527974e-06
Feature 433,3.9160127e-06
Feature 434,4.57085e-06
Feature 435,3.8625617e-06
Feature 436,2.314612e-06
Feature 437,4.6654764e-06
Feature 438,3.1121567e-06
Feature 439,2.3482992e-06
Feature 440,3.501828e-06
Feature 441,3.6703907e-06
Feature 442,5.8696155e-06
Feature 443,2.4808012e-06
Feature 444,3.5551113e-06
Feature 445,2.1675235e-06
Feature 446,4.2794823e-06
Feature 447,2.4075896e-06
Feature 448,4.0901314e-06
Feature 449,5.1424813e-06
Feature 450,3.0005417e-06
Feature 451,4.912713e-06
Feature 452,2.9868127e-06
Feature 453,5.2866153e-06
Feature 454,3.2754403e-06
Feature 455,3.5292376e-06
Feature 456,1.9274385e-06
Feature 457,2.633453e-06
Feature 458,6.3053976e-06
Feature 459,4.2943743e-06
Feature 460,3.857709e-06
Feature 461,2.6794105e-06
Feature 462,5.895412e-06
Feature 463,2.7851627e-06
Feature 464,3.6034837e-06
Feature 465,3.2602022e-06
Feature 466,2.810585e-06
Feature 467,4.415124e-06
Feature 468,3.1043664e-06
Feature 469,2.5419336e-06
Feature 470,3.1017e-06
Feature 471,2.4446888e-06
Feature 472,2.2830136e-06
Feature 473,3.47208e-06
Feature 474,4.388541e-06
Feature 475,2.168486e-06
Feature 476,4.621731e-06
Feature 477,4.6343525e-06
Feature 478,5.694238e-06
Feature 479,4.5627485e-06
Feature 480,2.0863338e-06
Feature 481,3.7083923e-06
Feature 482,3.174238e-06
Feature 483,2.7464853e-06
Feature 484,2.5055522e-06
Feature 485,2.867633e-06
Feature 486,3.0183298e-06
Feature 487,2.4768121e-06
Feature 488,3.3329763e-06
Feature 489,3.1139052e-06
Feature 490,2.9697069e-06
Feature 491,3.3376516e-06
Feature 492,3.8841263e-06
Feature 493,5.516864e-06
Feature 494,5.076642e-06
